MONTH,ZONA,CAT,NUM_SKUS_TURBO,USERS_TURBO,ORDERS_TURBO,TOTAL_PRICE_USD_TURBO,SOLD_UNITS_TURBO,AVG_TICKET_TURBO,MDOWN_AVG_TURBO,NUM_SKUS_CARULLA,USERS_CARULLA,ORDERS_CARULLA,TOTAL_PRICE_USD_CARULLA,SOLD_UNITS_CARULLA,AVG_TICKET_CARULLA,MDOWN_AVG_CARULLA,NPI,AOV_TURBO,BASKET_SIZE_TURBO,FRQUENCY_TURBO,AOV_CARULLA,BASKET_SIZE_CARULLA,FRQUENCY_CARULLA
2023-02-01,Bogotá,CERVEZAS,51,34666,60595,539017.15,115399,4.759837284,0.1351634905,48,2757,3322,30730.84,6694,4.709432961,0.1064280625,1.010702843,8.89540639,1.904431,1.747966,9.25070439,2.015051,1.204933
2023-02-01,Cali y Bucaramanga,CERVEZAS,39,5129,9549,77320.63,16750,4.674072731,0.1319173737,35,328,370,3653,822,4.564476703,0.1132629248,1.024010645,8.09724893,1.75411,1.861766,9.87297297,2.221622,1.128049
2023-02-01,Costa,CERVEZAS,38,5841,10474,103208.14,21643,4.868475483,0.1510739799,34,359,442,5036.02,1135,4.481192914,0.1433723748,1.08642399,9.85374642,2.066355,1.793186,11.39371041,2.567873,1.231198
2023-02-01,Costa,CERVEZAS,29,2414,4057,39599.78,8314,4.869007556,0.1279140663,27,470,591,6168.12,1366,4.581149364,0.1120459819,1.062835365,9.76085285,2.049298,1.680613,10.43675127,2.311337,1.257447
2023-02-01,Expansión - Centro,CERVEZAS,21,212,332,3788.24,922,4.351451114,0.1301497939,17,190,222,2027.08,430,4.746522871,0.1298181492,0.916766069,11.41036145,2.777108,1.566038,9.13099099,1.936937,1.168421
2023-02-01,Medellín,CERVEZAS,44,17220,30937,246147.61,52652,4.730103774,0.1124488014,39,1149,1327,11611.25,2535,4.706052482,0.09244776823,1.005110715,7.95641497,1.70191,1.796574,8.75,1.910324,1.154917
2023-03-01,Bogotá,CERVEZAS,55,37210,66899,578685.04,124524,4.741390198,0.1732182739,48,3817,4572,42122.8,9424,4.625774214,0.1924570482,1.024993867,8.6501299,1.861373,1.797877,9.21321085,2.061242,1.197799
2023-03-01,Bogotá,CERVEZAS,37,538,887,8430.35,1755,4.867718792,0.211844274,34,262,364,3932.59,904,4.496025616,0.1999619112,1.082671499,9.50434047,1.978579,1.648699,10.80381868,2.483516,1.389313
2023-03-01,Cali y Bucaramanga,CERVEZAS,39,5560,10309,84610.65,18236,4.694526456,0.1882051371,36,438,514,5216.38,1194,4.441245461,0.1977327194,1.057029272,8.20745465,1.76894,1.854137,10.14859922,2.322957,1.173516
2023-03-01,Costa,CERVEZAS,34,2620,4782,46951.78,9965,4.795537582,0.1938719904,31,592,799,9017.69,2144,4.455144875,0.1808703899,1.076404408,9.81843998,2.083856,1.825191,11.28622028,2.683354,1.349662
2023-03-01,Costa,CERVEZAS,39,5436,9962,94576.67,19422,4.959439907,0.2009825273,34,486,596,7044.65,1656,4.448892572,0.2106953162,1.114758297,9.49374322,1.949609,1.832597,11.81988255,2.778523,1.226337
2023-03-01,Expansión - Centro,CERVEZAS,19,169,235,1620.64,364,4.47476573,0.04671632641,17,169,216,2017.71,451,4.503142857,0.1549703712,0.9936983728,6.89634043,1.548936,1.390533,9.34125,2.087963,1.278107
2023-03-01,Medellín,CERVEZAS,46,18252,33615,269536.88,57935,4.706258869,0.1638818034,42,1460,1720,15626.01,3453,4.712357419,0.184423823,0.9987058389,8.01835133,1.723487,1.841716,9.08488953,2.007558,1.178082
2023-04-01,Bogotá,CERVEZAS,50,37944,66244,566018.63,121112,4.756663575,0.1361884009,46,3079,3652,31153.82,6867,4.634692907,0.1270110725,1.026316882,8.54445127,1.828271,1.745836,8.53061884,1.88034,1.186099
2023-04-01,Bogotá,CERVEZAS,39,570,871,8037.16,1683,4.870926003,0.1533294061,35,230,291,3319.26,724,4.751876927,0.1358727491,1.025053064,9.22750861,1.932262,1.52807,11.40639175,2.487973,1.265217
2023-04-01,Cali y Bucaramanga,CERVEZAS,36,6456,11815,94025.05,20230,4.718816456,0.1384811516,35,461,539,4634.08,1069,4.405335259,0.1478624157,1.071159442,7.95810834,1.71223,1.830081,8.59755102,1.983302,1.169197
2023-04-01,Costa,CERVEZAS,39,5966,10619,95659.79,19825,4.937104284,0.1417631227,33,410,467,4808.89,1064,4.598736847,0.1652351215,1.073578343,9.00836143,1.866937,1.77992,10.29740899,2.278373,1.139024
2023-04-01,Costa,CERVEZAS,36,3194,5607,52324.31,11270,4.727888345,0.1644676149,34,672,853,8262.2,1820,4.613308873,0.1127749997,1.024836722,9.33196183,2.009988,1.755479,9.68604924,2.133646,1.269345
2023-04-01,Expansión - Centro,CERVEZAS,25,294,410,3006.66,635,4.735389908,0.06219198565,20,194,244,2061.49,438,4.773786255,0.101522015,0.9919568357,7.33331707,1.54878,1.394558,8.44872951,1.795082,1.257732
2023-04-01,Medellín,CERVEZAS,47,18112,31831,247228.73,53970,4.624996038,0.1242406061,43,1467,1722,14512.94,3122,4.716265086,0.1115214863,0.9806480241,7.76691684,1.695517,1.757454,8.42795587,1.813008,1.173824
2023-05-01,Bogotá,CERVEZAS,52,37881,65760,525906.47,117405,4.555950199,0.1324394813,48,3409,4033,35786.71,7823,4.568017777,0.1402422252,0.9973582462,7.99736116,1.785356,1.735963,8.87347136,1.939747,1.183045
2023-05-01,Bogotá,CERVEZAS,40,557,861,7562.53,1623,4.709527019,0.1723714879,34,218,298,3147.54,705,4.527401115,0.151288847,1.040227472,8.78342625,1.885017,1.545781,10.56221477,2.365772,1.366972
2023-05-01,Cali y Bucaramanga,CERVEZAS,37,6773,12088,89525.63,20445,4.434820344,0.1526011726,34,433,525,5016.85,1133,4.378649149,0.1624819937,1.01282843,7.40615735,1.691347,1.784734,9.55590476,2.158095,1.212471
2023-05-01,Costa,CERVEZAS,40,6171,12075,104419.94,23460,4.562911602,0.1197932425,36,425,536,6641.65,1332,4.887404599,0.2108833341,0.933606275,8.64761408,1.942857,1.956733,12.39113806,2.485075,1.261176
